,source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,pm,radial_velocity,lum_flame,radius_flame,mass_flame,mag
0,137341135593106176,45.14197589245576,35.38523890885942,0.8165154273095623,15.057502,0.9260998,5419.6367,4.3048,-1.1033,5.219987,,1.0730429,1.2009528,,4.617324720311162
1,137346220834302080,44.94437940873786,35.37444121209052,1.3713560595230783,15.746337,1.3090506,4928.2935,4.5067,-0.4455,26.924383,,0.31275702,0.767493,0.7953409,6.432089039881292
2,137350137844475520,44.80492654130051,35.41915015980248,0.6458260468286235,14.905133,0.92873764,5687.2227,4.2517,-0.3349,8.579771,,2.0972233,1.4964731,1.0071758,3.955710076588357
3,137353127141707008,44.9923792191965,35.47696837710666,3.4061025467775847,16.165611,2.042531,3909.774,4.7381,-0.278,11.495791,,0.05522448,0.5173765,0.5692179,8.826899862247453
4,137358006224551808,44.998134394271425,35.5652345173163,1.3682951280141304,14.093399,1.033968,5772.567,4.3055,-0.2567,6.2190824,9.369653,1.338126,1.1568233,0.98419774,4.774297950869338
5,138828499947851264,45.871496941085184,35.821951566752745,0.6258272285994795,14.369556,1.4672556,,,,9.260568,-20.97506,,,,3.3518286999059193
6,138831386166107392,46.154733297831555,35.846007917233905,0.9607094942691121,14.576876,1.1488361,5779.1147,4.2027,-0.1011,9.202316,-119.1667,1.9853506,1.4243437,1.0021741,4.489836099965991
7,138841865886210944,45.42798474459591,35.563436946140605,0.9163919716902401,13.863701,0.9367027,5753.723,3.9449,-0.548,6.3888893,4.427458,3.0401523,1.7690284,1.0999199,3.674107245574209
8,138844339787384704,45.36176566551444,35.55350969703338,2.050096791388806,13.247642,1.1076918,5625.649,4.2838,-0.4047,12.975867,-12.200153,1.3633962,1.2303874,0.9356958,4.8065143466947475
9,138849764330691840,45.58380112572925,35.675185172458214,3.3456842723931075,17.360998,2.3915005,3545.4348,4.803,-0.3798,25.965519,,0.023667315,0.40762883,,9.983422927632645
